Modalidad;Origen;Puerto Destino;Tipo Carga;Flete USD;Seguro USD;Costos Portuarios USD;Costo Total USD
LCL;Brasil;Buenaventura;Refrigerada;1598,4;31,97;107,2;1737,57
FCL;México;Cartagena;Peligrosa;4857,29;97,15;713,78;5668,22
LCL;Alemania;Santa Marta;Refrigerada;6079,08;121,58;1224,34;7425
FCL;Alemania;Cartagena;Peligrosa;6770,86;135,42;1423,6;8329,88
Aéreo;México;Bogotá (Aéreo);Peligrosa;700,69;14,01;475,2;1189,9
FCL;México;Santa Marta;Peligrosa;6855,4;137,11;322,57;7315,08
FCL;USA;Barranquilla;Peligrosa;4605,61;92,11;555,87;5253,59
FCL;México;Cartagena;General;7504,78;150,1;1381,55;9036,43
Aéreo;México;Bogotá (Aéreo);Peligrosa;5936,56;118,73;1055,84;7111,13
Aéreo;México;Bogotá (Aéreo);Peligrosa;5158,87;103,18;1374,19;6636,24
Aéreo;China;Bogotá (Aéreo);General;7678,77;153,58;551,11;8383,46
Aéreo;USA;Bogotá (Aéreo);Peligrosa;2946,92;58,94;1339,66;4345,52
FCL;China;Barranquilla;General;6617,83;132,36;827,99;7578,18
LCL;USA;Santa Marta;Refrigerada;1243,33;24,87;689,49;1957,69
Aéreo;Brasil;Bogotá (Aéreo);General;3943,28;78,87;1319,19;5341,34
Aéreo;Brasil;Bogotá (Aéreo);General;2722,79;54,46;309,89;3087,14
Aéreo;México;Bogotá (Aéreo);Refrigerada;1790,32;35,81;256,17;2082,3
FCL;México;Barranquilla;Refrigerada;6494,22;129,88;471,66;7095,76
Aéreo;México;Bogotá (Aéreo);General;2487,79;49,76;717,94;3255,49
FCL;México;Barranquilla;Peligrosa;4895,01;97,9;922,62;5915,53
Aéreo;México;Bogotá (Aéreo);Peligrosa;1650,52;33,01;454,79;2138,32
FCL;México;Cartagena;Refrigerada;6509,01;130,18;1386,69;8025,88
Aéreo;USA;Bogotá (Aéreo);Peligrosa;5676,42;113,53;781,36;6571,31
FCL;China;Barranquilla;Refrigerada;635,14;12,7;445,86;1093,7
LCL;Brasil;Cartagena;General;4161,38;83,23;1188,68;5433,29
Aéreo;Brasil;Bogotá (Aéreo);Refrigerada;4717,34;94,35;941,14;5752,83
Aéreo;Brasil;Bogotá (Aéreo);General;7764,39;155,29;259,54;8179,22
FCL;China;Barranquilla;General;5068,19;101,36;1377,07;6546,62
Aéreo;Brasil;Bogotá (Aéreo);General;7981,99;159,64;808,36;8949,99
LCL;Brasil;Santa Marta;Refrigerada;6800,68;136,01;730,71;7667,4
Aéreo;Alemania;Bogotá (Aéreo);Refrigerada;7070,79;141,42;707,08;7919,29
